year,source,hsanum,hsacity,hsastate,agesex_grp,pop
2010,Census+HUD,20035,Greenville,ME,F_15_19,59.83002
2010,Census+HUD,30006,Dover,NH,F_15_19,409.21545000000003
2010,Census+HUD,20001,Augusta,ME,F_20_24,2009.7584299999999
2010,Census+HUD,20002,Bangor,ME,F_20_24,5452.351419999999
2010,Census+HUD,20003,Bar Harbor,ME,F_20_24,269.1276
2010,Census+HUD,20005,Belfast,ME,F_20_24,528.91566
2010,Census+HUD,20006,Biddeford,ME,F_20_24,2018.0154
2010,Census+HUD,20007,Blue Hill,ME,F_20_24,299.322
2010,Census+HUD,20008,Boothbay Harbor,ME,F_20_24,130.98579
2010,Census+HUD,20009,Bridgton,ME,F_20_24,541.8595
2010,Census+HUD,20010,Brunswick,ME,F_20_24,1979.90673
2010,Census+HUD,20011,Calais,ME,F_20_24,272.2902
2010,Census+HUD,20012,Caribou,ME,F_20_24,485.55584
2010,Census+HUD,20013,Damariscotta,ME,F_20_24,228.05211
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_20_24,543.29374
2010,Census+HUD,20015,Ellsworth,ME,F_20_24,677.5368000000001
2010,Census+HUD,20016,Farmington,ME,F_20_24,1512.04359
2010,Census+HUD,20017,Fort Kent,ME,F_20_24,367.14282000000003
2010,Census+HUD,20018,Houlton,ME,F_20_24,443.88827000000003
2010,Census+HUD,20019,Lewiston,ME,F_20_24,3776.32855
2010,Census+HUD,20020,Lincoln,ME,F_20_24,546.89476
2010,Census+HUD,20021,Machias,ME,F_20_24,378.6744
2010,Census+HUD,20022,Millinocket,ME,F_20_24,463.95016
2010,Census+HUD,20023,Norway,ME,F_20_24,609.1264199999999
2010,Census+HUD,20024,Pittsfield,ME,F_20_24,601.9126200000001
2010,Census+HUD,20025,Portland,ME,F_20_24,7648.24863
2010,Census+HUD,20026,Presque Isle,ME,F_20_24,568.86379
2010,Census+HUD,20027,Rockland,ME,F_20_24,1056.32113
2010,Census+HUD,20028,Rumford,ME,F_20_24,396.86895000000004
2010,Census+HUD,20029,Sanford,ME,F_20_24,1253.0806
2010,Census+HUD,20030,Skowhegan,ME,F_20_24,710.08924
2010,Census+HUD,20031,Waterville,ME,F_20_24,2006.23389
2010,Census+HUD,20033,York,ME,F_20_24,1056.0644
2010,Census+HUD,20035,Greenville,ME,F_20_24,43.87244
2010,Census+HUD,30006,Dover,NH,F_20_24,328.3946
2010,Census+HUD,20001,Augusta,ME,F_25_29,1945.83421
2010,Census+HUD,20002,Bangor,ME,F_25_29,3900.27754
2010,Census+HUD,20003,Bar Harbor,ME,F_25_29,256.84134
2010,Census+HUD,20005,Belfast,ME,F_25_29,541.1771399999999
2010,Census+HUD,20006,Biddeford,ME,F_25_29,2034.1124100000002
2010,Census+HUD,20007,Blue Hill,ME,F_25_29,285.6573
2010,Census+HUD,20008,Boothbay Harbor,ME,F_25_29,141.44184
2010,Census+HUD,20009,Bridgton,ME,F_25_29,554.0434
2010,Census+HUD,20010,Brunswick,ME,F_25_29,2104.2806499999997
2010,Census+HUD,20011,Calais,ME,F_25_29,281.36654
2010,Census+HUD,20012,Caribou,ME,F_25_29,448.28672
2010,Census+HUD,20013,Damariscotta,ME,F_25_29,246.25656
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_25_29,480.57733
2010,Census+HUD,20015,Ellsworth,ME,F_25_29,654.7664599999999
2010,Census+HUD,20016,Farmington,ME,F_25_29,997.7843200000001
2010,Census+HUD,20017,Fort Kent,ME,F_25_29,338.96256
