year,agesex_grp,hsanum,hsacity,hsastate,hsa_pop
2010,F_25_29,20019,Lewiston,ME,3567.9095
2010,F_25_29,20020,Lincoln,ME,384.42808
2010,F_25_29,20021,Machias,ME,391.29688000000004
2010,F_25_29,20022,Millinocket,ME,328.62968
2010,F_25_29,20023,Norway,ME,663.8933499999999
2010,F_25_29,20024,Pittsfield,ME,520.55531
2010,F_25_29,20025,Portland,ME,7599.0559
2010,F_25_29,20026,Presque Isle,ME,525.20032
2010,F_25_29,20027,Rockland,ME,1139.8819
2010,F_25_29,20028,Rumford,ME,420.2248000000001
2010,F_25_29,20029,Sanford,ME,1263.07599
2010,F_25_29,20030,Skowhegan,ME,767.77822
2010,F_25_29,20031,Waterville,ME,1954.12722
2010,F_25_29,20033,York,ME,1064.48826
2010,F_25_29,20035,Greenville,ME,43.78128
2010,F_25_29,30006,Dover,NH,331.01409
2010,F_25_29,30022,Portsmouth,NH,0
2010,F_30_34,20001,Augusta,ME,1915.78938
2010,F_30_34,20002,Bangor,ME,3517.1448199999995
2010,F_30_34,20003,Bar Harbor,ME,263.66704
2010,F_30_34,20005,Belfast,ME,604.7139
2010,F_30_34,20006,Biddeford,ME,2104.3896
2010,F_30_34,20007,Blue Hill,ME,293.2488
2010,F_30_34,20008,Boothbay Harbor,ME,150.56712
2010,F_30_34,20009,Bridgton,ME,546.0888
2010,F_30_34,20010,Brunswick,ME,2062.55898
2010,F_30_34,20011,Calais,ME,282.06472
2010,F_30_34,20012,Caribou,ME,463.08864
2010,F_30_34,20013,Damariscotta,ME,262.14408000000003
2010,F_30_34,20014,Dover-Foxcroft,ME,481.86118999999997
2010,F_30_34,20015,Ellsworth,ME,669.5948800000001
2010,F_30_34,20016,Farmington,ME,995.49185
2010,F_30_34,20017,Fort Kent,ME,350.15472
2010,F_30_34,20018,Houlton,ME,414.05415999999997
2010,F_30_34,20019,Lewiston,ME,3573.5951600000003
2010,F_30_34,20020,Lincoln,ME,342.79221
2010,F_30_34,20021,Machias,ME,392.26784000000004
2010,F_30_34,20022,Millinocket,ME,294.52108999999996
2010,F_30_34,20023,Norway,ME,691.07912
2010,F_30_34,20024,Pittsfield,ME,513.60064
2010,F_30_34,20025,Portland,ME,7322.877600000001
2010,F_30_34,20026,Presque Isle,ME,542.54184
2010,F_30_34,20027,Rockland,ME,1210.06802
2010,F_30_34,20028,Rumford,ME,436.81925
2010,F_30_34,20029,Sanford,ME,1306.7144
2010,F_30_34,20030,Skowhegan,ME,821.2906
2010,F_30_34,20031,Waterville,ME,1962.41748
2010,F_30_34,20033,York,ME,1101.2656
2010,F_30_34,20035,Greenville,ME,46.040789999999994
2010,F_30_34,30006,Dover,NH,342.4504
2010,F_30_34,30022,Portsmouth,NH,0
2010,F_35_39,20001,Augusta,ME,2158.92894
2010,F_35_39,20002,Bangor,ME,3858.0169399999995
2010,F_35_39,20003,Bar Harbor,ME,301.11088
2010,F_35_39,20005,Belfast,ME,640.9409999999999
2010,F_35_39,20006,Biddeford,ME,2394.9210000000003
2010,F_35_39,20007,Blue Hill,ME,334.8936
2010,F_35_39,20008,Boothbay Harbor,ME,180.03417
2010,F_35_39,20009,Bridgton,ME,599.2547
2010,F_35_39,20010,Brunswick,ME,2369.1697599999998
2010,F_35_39,20011,Calais,ME,291.49015
2010,F_35_39,20012,Caribou,ME,532.34048
2010,F_35_39,20013,Damariscotta,ME,313.44753000000003
2010,F_35_39,20014,Dover-Foxcroft,ME,591.04215
2010,F_35_39,20015,Ellsworth,ME,753.0625
2010,F_35_39,20016,Farmington,ME,1046.6095500000001
2010,F_35_39,20017,Fort Kent,ME,402.51804000000004
2010,F_35_39,20018,Houlton,ME,471.7221
2010,F_35_39,20019,Lewiston,ME,3616.3823700000003
2010,F_35_39,20020,Lincoln,ME,375.89722
2010,F_35_39,20021,Machias,ME,405.3758
2010,F_35_39,20022,Millinocket,ME,323.5389
2010,F_35_39,20023,Norway,ME,755.1214
2010,F_35_39,20024,Pittsfield,ME,570.8031100000001
2010,F_35_39,20025,Portland,ME,8072.75003
2010,F_35_39,20026,Presque Isle,ME,623.67538
2010,F_35_39,20027,Rockland,ME,1392.2089700000001
2010,F_35_39,20028,Rumford,ME,476.7796000000001
2010,F_35_39,20029,Sanford,ME,1487.1190000000001
2010,F_35_39,20030,Skowhegan,ME,923.38846
2010,F_35_39,20031,Waterville,ME,2179.7228800000003
2010,F_35_39,20033,York,ME,1253.306
2010,F_35_39,20035,Greenville,ME,58.659499999999994
2010,F_35_39,30006,Dover,NH,389.72900000000004
2010,F_35_39,30022,Portsmouth,NH,0
2010,F_40_44,20001,Augusta,ME,2499.18574
2010,F_40_44,20002,Bangor,ME,4318.711499999999
2010,F_40_44,20003,Bar Harbor,ME,349.28082
2010,F_40_44,20005,Belfast,ME,685.5282
2010,F_40_44,20006,Biddeford,ME,2785.1753400000002
2010,F_40_44,20007,Blue Hill,ME,388.46790000000004
2010,F_40_44,20008,Boothbay Harbor,ME,204.93858
2010,F_40_44,20009,Bridgton,ME,699.0726999999999
2010,F_40_44,20010,Brunswick,ME,2679.24938
2010,F_40_44,20011,Calais,ME,372.47903
2010,F_40_44,20012,Caribou,ME,612.42944
2010,F_40_44,20013,Damariscotta,ME,356.80722000000003
2010,F_40_44,20014,Dover-Foxcroft,ME,725.70825
2010,F_40_44,20015,Ellsworth,ME,886.5699200000001
2010,F_40_44,20016,Farmington,ME,1274.15761
2010,F_40_44,20017,Fort Kent,ME,463.07562
2010,F_40_44,20018,Houlton,ME,545.44411
2010,F_40_44,20019,Lewiston,ME,4138.36877
2010,F_40_44,20020,Lincoln,ME,420.64291000000003
2010,F_40_44,20021,Machias,ME,518.00716
2010,F_40_44,20022,Millinocket,ME,362.44367
2010,F_40_44,20023,Norway,ME,907.2900099999999
2010,F_40_44,20024,Pittsfield,ME,657.75176
2010,F_40_44,20025,Portland,ME,9277.925430000001
2010,F_40_44,20026,Presque Isle,ME,717.50539
2010,F_40_44,20027,Rockland,ME,1579.84758
2010,F_40_44,20028,Rumford,ME,573.51805
2010,F_40_44,20029,Sanford,ME,1729.44626
2010,F_40_44,20030,Skowhegan,ME,1086.507
2010,F_40_44,20031,Waterville,ME,2514.62762
2010,F_40_44,20033,York,ME,1457.53324
2010,F_40_44,20035,Greenville,ME,74.02104999999999
2010,F_40_44,30006,Dover,NH,453.23566
2010,F_40_44,30022,Portsmouth,NH,0
2010,F_45_49,20001,Augusta,ME,2948.64619
2010,F_45_49,20002,Bangor,ME,5188.9117
2010,F_45_49,20003,Bar Harbor,ME,433.52946
2010,F_45_49,20005,Belfast,ME,858.8609399999999
2010,F_45_49,20006,Biddeford,ME,3337.185
2010,F_45_49,20007,Blue Hill,ME,482.1687
2010,F_45_49,20008,Boothbay Harbor,ME,248.66388
2010,F_45_49,20009,Bridgton,ME,814.5387000000001
2010,F_45_49,20010,Brunswick,ME,3150.11523
2010,F_45_49,20011,Calais,ME,414.71892
2010,F_45_49,20012,Caribou,ME,740.36032
2010,F_45_49,20013,Damariscotta,ME,432.93492000000003
2010,F_45_49,20014,Dover-Foxcroft,ME,814.9481900000001
2010,F_45_49,20015,Ellsworth,ME,1082.3527800000002
2010,F_45_49,20016,Farmington,ME,1564.994
2010,F_45_49,20017,Fort Kent,ME,559.80786
2010,F_45_49,20018,Houlton,ME,655.7074299999999
2010,F_45_49,20019,Lewiston,ME,4727.812370000001
2010,F_45_49,20020,Lincoln,ME,503.54648000000003
2010,F_45_49,20021,Machias,ME,576.7502400000001
2010,F_45_49,20022,Millinocket,ME,434.0462
2010,F_45_49,20023,Norway,ME,1130.88608
2010,F_45_49,20024,Pittsfield,ME,761.27664
2010,F_45_49,20025,Portland,ME,10448.620550000001
2010,F_45_49,20026,Presque Isle,ME,867.38567
2010,F_45_49,20027,Rockland,ME,1870.66174
2010,F_45_49,20028,Rumford,ME,715.0616
2010,F_45_49,20029,Sanford,ME,2072.215
2010,F_45_49,20030,Skowhegan,ME,1229.47156
2010,F_45_49,20031,Waterville,ME,2956.66269
2010,F_45_49,20033,York,ME,1746.41
2010,F_45_49,20035,Greenville,ME,81.62659
2010,F_45_49,30006,Dover,NH,543.065
2010,F_45_49,30022,Portsmouth,NH,0
2010,F_50_54,20001,Augusta,ME,3142.64681
2010,F_50_54,20002,Bangor,ME,5404.22912
2010,F_50_54,20003,Bar Harbor,ME,474.28864
2010,F_50_54,20005,Belfast,ME,967.5422399999999
2010,F_50_54,20006,Biddeford,ME,3414.92178
2010,F_50_54,20007,Blue Hill,ME,527.5008
2010,F_50_54,20008,Boothbay Harbor,ME,292.95951
2010,F_50_54,20009,Bridgton,ME,843.9406
2010,F_50_54,20010,Brunswick,ME,3244.5129899999997
2010,F_50_54,20011,Calais,ME,482.09329
2010,F_50_54,20012,Caribou,ME,769.1712
2010,F_50_54,20013,Damariscotta,ME,510.05559
2010,F_50_54,20014,Dover-Foxcroft,ME,935.1596199999999
2010,F_50_54,20015,Ellsworth,ME,1194.88246
2010,F_50_54,20016,Farmington,ME,1662.88277
2010,F_50_54,20017,Fort Kent,ME,581.5926000000001
2010,F_50_54,20018,Houlton,ME,685.9179399999999
2010,F_50_54,20019,Lewiston,ME,4604.1377
2010,F_50_54,20020,Lincoln,ME,520.8903
2010,F_50_54,20021,Machias,ME,670.44788
2010,F_50_54,20022,Millinocket,ME,449.07374
2010,F_50_54,20023,Norway,ME,1222.5278799999999
2010,F_50_54,20024,Pittsfield,ME,792.26896
2010,F_50_54,20025,Portland,ME,10550.629380000002
2010,F_50_54,20026,Presque Isle,ME,901.1397
2010,F_50_54,20027,Rockland,ME,2202.25427
2010,F_50_54,20028,Rumford,ME,773.095
2010,F_50_54,20029,Sanford,ME,2120.48542
2010,F_50_54,20030,Skowhegan,ME,1286.7992800000002
2010,F_50_54,20031,Waterville,ME,3142.66616
2010,F_50_54,20033,York,ME,1787.09108
2010,F_50_54,20035,Greenville,ME,96.42202
2010,F_50_54,30006,Dover,NH,555.71522
2010,F_50_54,30022,Portsmouth,NH,0
2010,F_55_59,20001,Augusta,ME,2883.35319
2010,F_55_59,20002,Bangor,ME,4905.99216
2010,F_55_59,20003,Bar Harbor,ME,478.7741
2010,F_55_59,20005,Belfast,ME,941.3472599999999
2010,F_55_59,20006,Biddeford,ME,3184.0671
2010,F_55_59,20007,Blue Hill,ME,532.4895
2010,F_55_59,20008,Boothbay Harbor,ME,294.86061
2010,F_55_59,20009,Bridgton,ME,758.8294000000001
2010,F_55_59,20010,Brunswick,ME,3014.84821
2010,F_55_59,20011,Calais,ME,471.96968000000004
2010,F_55_59,20012,Caribou,ME,787.6736
2010,F_55_59,20013,Damariscotta,ME,513.36549
2010,F_55_59,20014,Dover-Foxcroft,ME,888.73053
2010,F_55_59,20015,Ellsworth,ME,1200.6114200000002
2010,F_55_59,20016,Farmington,ME,1539.51876
2010,F_55_59,20017,Fort Kent,ME,595.5828
2010,F_55_59,20018,Houlton,ME,696.2713200000001
2010,F_55_59,20019,Lewiston,ME,4075.6525199999996
2010,F_55_59,20020,Lincoln,ME,469.22665
2010,F_55_59,20021,Machias,ME,656.36896
2010,F_55_59,20022,Millinocket,ME,406.75345
2010,F_55_59,20023,Norway,ME,1071.73687
2010,F_55_59,20024,Pittsfield,ME,725.6085
2010,F_55_59,20025,Portland,ME,9656.83414
2010,F_55_59,20026,Presque Isle,ME,922.8166
2010,F_55_59,20027,Rockland,ME,2204.73515
2010,F_55_59,20028,Rumford,ME,679.27615
2010,F_55_59,20029,Sanford,ME,1977.1369
2010,F_55_59,20030,Skowhegan,ME,1195.95352
2010,F_55_59,20031,Waterville,ME,2884.1460100000004
2010,F_55_59,20033,York,ME,1666.2806
2010,F_55_59,20035,Greenville,ME,92.98743
2010,F_55_59,30006,Dover,NH,518.1479
2010,F_55_59,30022,Portsmouth,NH,0
2010,F_60_64,20001,Augusta,ME,2498.57548
2010,F_60_64,20002,Bangor,ME,4220.5462
2010,F_60_64,20003,Bar Harbor,ME,447.5709
2010,F_60_64,20005,Belfast,ME,901.7761199999999
2010,F_60_64,20006,Biddeford,ME,2679.56325
2010,F_60_64,20007,Blue Hill,ME,497.7855
2010,F_60_64,20008,Boothbay Harbor,ME,291.43863
2010,F_60_64,20009,Bridgton,ME,632.7242
2010,F_60_64,20010,Brunswick,ME,2551.81394
2010,F_60_64,20011,Calais,ME,466.38424000000003
2010,F_60_64,20012,Caribou,ME,676.6592
2010,F_60_64,20013,Damariscotta,ME,507.40767
2010,F_60_64,20014,Dover-Foxcroft,ME,801.07071
2010,F_60_64,20015,Ellsworth,ME,1131.91606
2010,F_60_64,20016,Farmington,ME,1313.50432
2010,F_60_64,20017,Fort Kent,ME,511.64160000000004
2010,F_60_64,20018,Houlton,ME,603.60448
2010,F_60_64,20019,Lewiston,ME,3619.84858
2010,F_60_64,20020,Lincoln,ME,398.5828
2010,F_60_64,20021,Machias,ME,648.60128
2010,F_60_64,20022,Millinocket,ME,345.69255999999996
2010,F_60_64,20023,Norway,ME,902.5444699999999
2010,F_60_64,20024,Pittsfield,ME,635.1560400000001
2010,F_60_64,20025,Portland,ME,8011.90326
2010,F_60_64,20026,Presque Isle,ME,792.7552000000001
2010,F_60_64,20027,Rockland,ME,2021.22351
2010,F_60_64,20028,Rumford,ME,572.1185
2010,F_60_64,20029,Sanford,ME,1663.8667500000001
2010,F_60_64,20030,Skowhegan,ME,1067.77852
2010,F_60_64,20031,Waterville,ME,2514.59399
2010,F_60_64,20033,York,ME,1402.2645
2010,F_60_64,20035,Greenville,ME,84.99410999999999
2010,F_60_64,30006,Dover,NH,436.04925000000003
2010,F_60_64,30022,Portsmouth,NH,0
2010,F_65_69,20001,Augusta,ME,1856.54097
2010,F_65_69,20002,Bangor,ME,3013.31702
2010,F_65_69,20003,Bar Harbor,ME,327.24356
2010,F_65_69,20005,Belfast,ME,598.02582
2010,F_65_69,20006,Biddeford,ME,1941.4564500000001
2010,F_65_69,20007,Blue Hill,ME,363.95820000000003
2010,F_65_69,20008,Boothbay Harbor,ME,243.15069
2010,F_65_69,20009,Bridgton,ME,467.8134
2010,F_65_69,20010,Brunswick,ME,1953.3233500000001
2010,F_65_69,20011,Calais,ME,349.43909
2010,F_65_69,20012,Caribou,ME,546.61376
2010,F_65_69,20013,Damariscotta,ME,423.33621
2010,F_65_69,20014,Dover-Foxcroft,ME,616.28166
2010,F_65_69,20015,Ellsworth,ME,830.80826
2010,F_65_69,20016,Farmington,ME,1027.65992
2010,F_65_69,20017,Fort Kent,ME,413.31048000000004
2010,F_65_69,20018,Houlton,ME,482.73644
2010,F_65_69,20019,Lewiston,ME,2587.40664
2010,F_65_69,20020,Lincoln,ME,286.17964
2010,F_65_69,20021,Machias,ME,485.96548
2010,F_65_69,20022,Millinocket,ME,249.62843999999998
2010,F_65_69,20023,Norway,ME,698.18215
2010,F_65_69,20024,Pittsfield,ME,473.63323
2010,F_65_69,20025,Portland,ME,5753.40446
2010,F_65_69,20026,Presque Isle,ME,640.39756
2010,F_65_69,20027,Rockland,ME,1499.46827
2010,F_65_69,20028,Rumford,ME,443.16025
2010,F_65_69,20029,Sanford,ME,1205.5415500000001
2010,F_65_69,20030,Skowhegan,ME,817.2825
2010,F_65_69,20031,Waterville,ME,1819.32887
2010,F_65_69,20033,York,ME,1015.9997000000001
2010,F_65_69,20035,Greenville,ME,66.43841
2010,F_65_69,30006,Dover,NH,315.93605
2010,F_65_69,30022,Portsmouth,NH,0
2010,F_70_74,20001,Augusta,ME,1366.5609299999999
